Level,Category,Bert F1 Score,Bart F1 Score,Roberta F1 Score,HCapsNet F1 Score,Zero-shot F1 Score,N-shot F1 Score
Level 0,Information Exchange,0.33612,0.33469,0.33612,0.520944,0.33612,0.33612
,Modification,0.672117,0.669609,0.481121,0.31312,0.477194,0.477194
,Social Communication,0.854624,0.863186,0.861572,0.775807,0.918721,0.896378
,Other,0.841861,0.846135,0.896378,0.698888,0.896378,0.918721
Level 1,Requested,0.992193,0.996862,0.992193,0.472426,0.992193,1
,Execution,0.890221,0.894939,0.954938,0.169014,0.956041,1
,Discussion,0.852901,0.860724,0.85813,0.824966,0.919311,1
,Provided,0.892849,0.896747,0.947421,0.558135,0.947421,1
,Feedback,0.409846,0.402312,0.423942,0.836022,0.502727,1
,Acknowledgment,0.286915,0.290167,0.298622,0.686234,0.374505,1
Level 2,Requesting Confirmation,0.83705,0.83545,0.83705,0.444684,0.918721,1
,Promise,0.731388,0.740942,0.606426,0.171067,0.910181,1
,Content,0.533497,0.547376,0.536855,0.603919,0.83705,1
,Reference,0.871086,0.87466,0.924622,0.697794,0.924622,1
,Context,0.738386,0.759053,0.792043,0.580378,0.879997,1
,Thread,0.852465,0.823001,0.777842,0.7242,0.994894,1
,Done,0.885064,0.88115,0.89374,0.008899,0.89374,1
,Format,0.953218,0.948639,0.952699,0.014513,0.956636,1
,Asking details,0.928834,0.926709,0.931479,0.617446,0.955446,1
Level 3,Potential change,0.574715,0.57316,0.574715,0.465085,0.574715,1
, Not Potential change,0.916328,0.920543,0.974022,0.179255,0.975125,1
,Explicit,0.688089,0.690463,0.691627,0.677882,0.716991,1
,Not Explicit,0.45118,0.449801,0.485662,0.546713,0.485662,1
Level 4,Change,0.770222,0.768628,0.770222,0.568572,0.770222,1
,Add,0.787861,0.78777,0.839436,0.174549,0.837627,1
,Delete,0.881916,0.889733,0.88714,0.697549,0.948312,1
